genotype_id	population_code	population_name	superpopulation_code
HG00233	GBR	British	EUR
NA18873	YRI	Yoruba	AFR
HG00380	FIN	Finnish	EUR
HG00120	GBR	British	EUR
NA20796	TSI	Tuscan	EUR
NA20527	TSI	Tuscan	EUR
HG00276	FIN	Finnish	EUR
NA12249	CEU	CEPH	EUR
HG00185	FIN	Finnish	EUR
HG00339	FIN	Finnish	EUR
NA19190	YRI	Yoruba	AFR
HG00257	GBR	British	EUR
NA07347	CEU	CEPH	EUR
NA06984	CEU	CEPH	EUR
HG00275	FIN	Finnish	EUR
NA06985	CEU	CEPH	EUR
HG00109	GBR	British	EUR
NA20505	TSI	Tuscan	EUR
HG00379	FIN	Finnish	EUR
NA12155	CEU	CEPH	EUR
HG00158	GBR	British	EUR
HG00238	GBR	British	EUR
NA20543	TSI	Tuscan	EUR
NA20798	TSI	Tuscan	EUR
NA12004	CEU	CEPH	EUR
HG00127	GBR	British	EUR
HG00134	GBR	British	EUR
NA12815	CEU	CEPH	EUR
HG00353	FIN	Finnish	EUR
HG00328	FIN	Finnish	EUR
HG00111	GBR	British	EUR
NA20589	TSI	Tuscan	EUR
NA18868	YRI	Yoruba	AFR
NA20771	TSI	Tuscan	EUR
HG00312	FIN	Finnish	EUR
NA20525	TSI	Tuscan	EUR
NA11995	CEU	CEPH	EUR
NA12842	CEU	CEPH	EUR
NA12399	CEU	CEPH	EUR
HG00253	GBR	British	EUR
NA18909	YRI	Yoruba	AFR
NA20586	TSI	Tuscan	EUR
NA12775	CEU	CEPH	EUR
HG00267	FIN	Finnish	EUR
NA20514	TSI	Tuscan	EUR
NA20517	TSI	Tuscan	EUR
HG00367	FIN	Finnish	EUR
NA20537	TSI	Tuscan	EUR
NA20787	TSI	Tuscan	EUR
HG00189	FIN	Finnish	EUR
HG00371	FIN	Finnish	EUR
NA19206	YRI	Yoruba	AFR
NA19248	YRI	Yoruba	AFR
NA19117	YRI	Yoruba	AFR
HG00264	GBR	British	EUR
NA19102	YRI	Yoruba	AFR
HG00105	GBR	British	EUR
NA20512	TSI	Tuscan	EUR
HG00240	GBR	British	EUR
NA11920	CEU	CEPH	EUR
NA20807	TSI	Tuscan	EUR
NA18870	YRI	Yoruba	AFR
HG00360	FIN	Finnish	EUR
NA18858	YRI	Yoruba	AFR
NA07037	CEU	CEPH	EUR
NA12045	CEU	CEPH	EUR
HG00259	GBR	British	EUR
HG00148	GBR	British	EUR
NA20502	TSI	Tuscan	EUR
NA20769	TSI	Tuscan	EUR
NA20536	TSI	Tuscan	EUR
HG00136	GBR	British	EUR
NA20795	TSI	Tuscan	EUR
HG00138	GBR	British	EUR
NA20521	TSI	Tuscan	EUR
HG00160	GBR	British	EUR
NA12341	CEU	CEPH	EUR
NA10851	CEU	CEPH	EUR
NA19235	YRI	Yoruba	AFR
HG01789	GBR	British	EUR
NA19210	YRI	Yoruba	AFR
NA20772	TSI	Tuscan	EUR
NA20813	TSI	Tuscan	EUR
HG00365	FIN	Finnish	EUR
NA12383	CEU	CEPH	EUR
HG00271	FIN	Finnish	EUR
NA20535	TSI	Tuscan	EUR
NA20531	TSI	Tuscan	EUR
HG00188	FIN	Finnish	EUR
HG00141	GBR	British	EUR
NA20581	TSI	Tuscan	EUR
HG00131	GBR	British	EUR
NA12750	CEU	CEPH	EUR
NA20799	TSI	Tuscan	EUR
NA20828	TSI	Tuscan	EUR
HG01790	GBR	British	EUR
NA20810	TSI	Tuscan	EUR
NA18923	YRI	Yoruba	AFR
NA12156	CEU	CEPH	EUR
HG00243	GBR	British	EUR
HG00129	GBR	British	EUR
NA12890	CEU	CEPH	EUR
NA12043	CEU	CEPH	EUR
NA12058	CEU	CEPH	EUR
HG00102	GBR	British	EUR
HG00327	FIN	Finnish	EUR
HG00326	FIN	Finnish	EUR
NA20800	TSI	Tuscan	EUR
NA12763	CEU	CEPH	EUR
NA19225	YRI	Yoruba	AFR
NA19172	YRI	Yoruba	AFR
NA19107	YRI	Yoruba	AFR
NA20819	TSI	Tuscan	EUR
HG00187	FIN	Finnish	EUR
NA11843	CEU	CEPH	EUR
NA19159	YRI	Yoruba	AFR
HG00099	GBR	British	EUR
NA12889	CEU	CEPH	EUR
HG00132	GBR	British	EUR
NA12273	CEU	CEPH	EUR
HG00309	FIN	Finnish	EUR
NA11829	CEU	CEPH	EUR
NA19209	YRI	Yoruba	AFR
NA11830	CEU	CEPH	EUR
NA20540	TSI	Tuscan	EUR
NA20803	TSI	Tuscan	EUR
NA12272	CEU	CEPH	EUR
HG00329	FIN	Finnish	EUR
NA19200	YRI	Yoruba	AFR
NA12348	CEU	CEPH	EUR
NA18910	YRI	Yoruba	AFR
HG00130	GBR	British	EUR
NA19129	YRI	Yoruba	AFR
HG00173	FIN	Finnish	EUR
NA12347	CEU	CEPH	EUR
NA18934	YRI	Yoruba	AFR
HG00244	GBR	British	EUR
NA18499	YRI	Yoruba	AFR
HG00235	GBR	British	EUR
NA19149	YRI	Yoruba	AFR
NA20515	TSI	Tuscan	EUR
NA20529	TSI	Tuscan	EUR
NA19207	YRI	Yoruba	AFR
HG00146	GBR	British	EUR
HG00249	GBR	British	EUR
HG00280	FIN	Finnish	EUR
NA20516	TSI	Tuscan	EUR
NA19143	YRI	Yoruba	AFR
NA19153	YRI	Yoruba	AFR
HG00126	GBR	British	EUR
HG00375	FIN	Finnish	EUR
NA19247	YRI	Yoruba	AFR
HG00252	GBR	British	EUR
HG00112	GBR	British	EUR
HG00142	GBR	British	EUR
NA12286	CEU	CEPH	EUR
HG00154	GBR	British	EUR
HG01334	GBR	British	EUR
HG02215	GBR	British	EUR
NA19130	YRI	Yoruba	AFR
HG00378	FIN	Finnish	EUR
HG00344	FIN	Finnish	EUR
NA07051	CEU	CEPH	EUR
NA20815	TSI	Tuscan	EUR
NA19093	YRI	Yoruba	AFR
NA12778	CEU	CEPH	EUR
HG01791	GBR	British	EUR
NA20761	TSI	Tuscan	EUR
HG00362	FIN	Finnish	EUR
NA07048	CEU	CEPH	EUR
HG00308	FIN	Finnish	EUR
